page_likes,category,post_month,post_weekday,post_hour,paid,total_reach,total_impressions,engaged_users,post_consumers,post_consumptions,fan_impressions,fan_reach,fan_engaged,engagement_rate,is_weekend,log_total_reach,log_total_impressions,log_fan_reach,log_fan_impressions,log_engaged_users,log_page_likes,type_Photo,type_Status,type_Video,log_total_interactions
138353,2,11,1,9,0,1728,3155,108,65,95,2313,1232,77,0.0625,0,7.455298485683291,8.057060681965766,7.117205503164344,7.746732907753622,4.6913478822291435,11.837570896976379,1,0,0,4.07753744390572
138329,1,11,1,3,1,25248,40125,726,467,863,16132,8608,451,0.028755,0,10.136541829958853,10.599779782240146,9.060563446657955,9.688622142666144,6.588926477533519,11.83739741386886,1,0,0,5.823045895483019
138329,1,11,7,9,0,4894,8899,355,181,264,4914,2712,246,0.072538,1,8.49596955496461,9.093806555720231,7.905810312658931,8.500047032581268,5.87493073085203,11.83739741386886,1,0,0,5.493061443340548
138329,1,11,7,3,0,2935,5439,237,182,401,3901,2044,201,0.08075,1,7.984803389734406,8.601534339849989,7.623153068476902,8.269244521183056,5.472270673671475,11.83739741386886,1,0,0,4.477336814478207
138329,1,11,6,10,0,2425,4462,260,213,433,3017,1510,175,0.107216,1,7.793999089503996,8.40357646462927,7.32052696227274,8.012349639327795,5.564520407322694,11.83739741386886,1,0,0,4.430816798843313
138329,1,11,6,2,1,16416,31950,459,411,539,21436,9568,363,0.027961,1,9.706072662294519,10.37195875822042,9.166283985779263,9.972873680021136,6.131226489483141,11.83739741386886,0,0,1,4.406719247264253
138329,1,11,5,11,0,5812,10465,343,204,301,4976,2764,240,0.059016,0,8.66785206770135,9.255887186932153,7.9247959139564355,8.512582578858554,5.840641657373398,11.83739741386886,1,0,0,5.3981627015177525
138329,1,11,5,3,0,2545,4846,165,131,167,3675,1901,134,0.064833,0,7.842278779117352,8.486115235845377,7.550661243105336,8.209580483475577,5.111987788356544,11.83739741386886,1,0,0,3.9889840465642745
138329,1,11,4,10,0,2257,4372,230,173,327,3188,1557,168,0.101905,0,7.722234744709607,8.38320455141292,7.351158226430694,8.067462667010057,5.442417710521793,11.83739741386886,1,0,0,4.51085950651685
138329,1,11,4,3,1,27072,84885,421,304,487,35637,9712,263,0.015551,0,10.206292200258018,11.349064458819743,9.18122047340233,10.48116776328736,6.045005314036012,11.83739741386886,1,0,0,5.081404364984463
138185,1,11,3,11,1,10940,27951,417,335,591,15066,5100,319,0.038117,0,9.30027247947679,10.238244032373839,8.537191877922927,9.620262200801289,6.035481432524756,11.836355882724064,1,0,0,4.820281565605037
138185,1,11,3,2,1,50912,164528,630,513,952,54653,12704,346,0.012374,0,10.837873572679374,12.010842125443304,9.449750895754265,10.908777683972865,6.447305862541213,11.836355882724064,1,0,0,5.093750200806762
138185,1,11,2,10,1,28752,47358,802,654,1268,14091,7456,408,0.027894,0,10.266497388607728,10.7655121544701,8.916908467543795,9.553362539461128,6.688354713946762,11.836355882724064,1,0,0,5.313205979041787
138185,1,11,2,3,1,27216,81908,541,335,540,26869,7760,315,0.019878,0,10.21159705705293,11.313364153913575,8.95686647085414,10.198765701609537,6.295266001439646,11.836355882724064,1,0,0,5.5053315359323625
138185,1,11,1,10,0,2352,5234,232,182,258,4101,1761,181,0.098639,0,7.763446388727362,8.563122123304638,7.474204806496124,8.319229938632326,5.4510384535657,11.836355882724064,1,0,0,4.248495242049359
138185,1,11,1,3,0,3416,6167,356,298,641,4530,2388,280,0.104215,0,8.136518252115291,8.727129915243166,7.77863014732581,8.418697944667139,5.877735781779639,11.836355882724064,1,0,0,4.787491742782046
138185,1,11,7,11,0,2149,4120,197,156,219,3302,1640,161,0.091671,1,7.673223121121708,8.323851131338817,7.403061091090091,8.10258642539079,5.288267030694535,11.836355882724064,1,0,0,4.02535169073515
138185,1,11,7,3,1,53456,93790,1576,995,1469,32646,14912,884,0.029482,1,10.886632871395525,11.44882418156364,9.609988594762783,10.393508246868931,7.3632795869630385,11.836355882724064,1,0,0,6.669498089857879
138185,1,11,6,11,0,2168,3891,211,168,202,2873,1539,171,0.097325,1,7.682021510826875,8.266678443305896,7.3395376954076745,7.96346006663897,5.356586274672012,11.836355882724064,1,0,0,4.2626798770413155
137893,1,11,6,3,0,3102,5939,360,288,512,3537,1780,275,0.116054,1,8.04012466444838,8.68946441235669,7.484930283289661,8.17131687471973,5.8888779583328805,11.834240553045111,1,0,0,4.787491742782046
137893,1,11,5,10,1,39344,103050,588,460,695,39304,11392,336,0.014945,0,10.580124180969083,11.542979290298693,9.340754410698116,10.579107016227857,6.3784261836515865,11.834240553045111,1,0,0,5.093750200806762
137893,1,11,5,3,1,100768,220447,2101,1735,2331,59658,18880,885,0.02085,0,11.52058604763684,12.303417118392922,9.845911404398532,10.996400296278916,7.650644551436897,11.834240553045111,0,0,1,6.311734809152915
137893,3,11,4,11,0,9056,16362,1006,847,1153,9562,5180,740,0.111087,0,9.111293218374948,9.702777967428895,8.552753366814787,9.165656764349542,6.914730892718563,11.834240553045111,0,1,0,5.6131281063880705
137893,1,11,4,2,1,11444,46054,555,418,717,13737,4320,438,0.048497,0,9.345308232386667,10.737591613422335,8.371242135931933,9.527920994773828,6.320768294250582,11.834240553045111,1,0,0,5.455321115357702
137893,1,11,3,11,0,13544,30235,517,458,667,26622,11760,447,0.038172,0,9.513772754519195,10.316788546412067,9.372544251851037,10.189530782819384,6.249975242259483,11.834240553045111,0,0,1,4.74493212836325
137893,1,11,3,2,1,37376,68610,1150,808,1341,22100,10880,724,0.030768,0,10.528810820966973,11.136208150713541,9.294773427951013,10.003378135350923,7.048386408721883,11.834240553045111,1,0,0,6.226536669287466
137893,1,11,3,2,0,1228,2392,17,17,19,2392,1228,17,0.013844,0,7.113956109566034,7.780303087908373,7.113956109566034,7.780303087908373,2.8903717578961645,11.834240553045111,1,0,0,0.0
137177,1,11,1,10,0,22984,59040,438,374,542,12716,4968,262,0.019057,0,10.042597108240328,10.98598739680029,8.51097389160232,9.450694960020746,6.0844994130751715,11.829034631562282,1,0,0,4.584967478670572
137177,2,11,1,3,0,1445,2774,217,167,211,1924,1005,154,0.150173,0,7.27655640271871,7.928406026180535,6.913737350659685,7.562681246721884,5.384495062789089,11.829034631562282,1,0,0,4.174387269895637
137177,1,11,7,12,0,3754,8533,658,640,2085,6838,3224,598,0.17528,1,8.230843564198235,9.051813463747946,8.078688229229872,8.830396801098097,6.490723534502507,11.829034631562282,1,0,0,3.6635616461296463
137177,2,11,7,3,0,8728,17827,2295,2235,2828,15418,7344,2099,0.262947,1,9.07440609473535,9.788525534066446,8.901775088607979,9.643355794171352,7.738923757439457,11.829034631562282,0,1,0,4.624972813284271
137177,3,11,6,10,0,5990,11123,657,361,512,5057,2628,428,0.109683,1,8.698013622083925,9.316860215353856,7.874358824729881,8.52872642722991,6.489204931325317,11.829034631562282,1,0,0,6.091309882077698
137177,1,11,6,3,0,4582,9193,454,306,431,3691,1722,305,0.099083,1,8.430109084509125,9.126306376366173,7.45182223652793,8.213923595622743,6.12029741895095,11.829034631562282,1,0,0,5.53338948872752
137177,3,11,5,10,1,2938,5799,321,243,379,3668,1848,236,0.109258,0,7.985824666418917,8.66561319653451,7.522400231387125,8.207674424355282,5.7745515455444085,11.829034631562282,1,0,0,4.812184355372417
137177,3,11,5,2,0,6692,13092,199,108,141,7549,3336,156,0.029737,0,8.808817483100642,9.479833015227753,8.112827478751374,8.92930284224307,5.298317366548036,11.829034631562282,0,1,0,4.770684624465665
137177,1,11,4,9,1,2566,5244,384,280,469,3834,1806,266,0.149649,0,7.8504931808711405,8.565030520830398,7.499423290592229,8.251924713801357,5.953243334287785,11.829034631562282,1,0,0,5.0689042022202315
137177,1,11,4,3,0,21176,54779,330,228,329,13858,5248,185,0.015584,0,9.960670966063581,10.911080442817068,8.5657928612523,9.536690120068803,5.802118375377063,11.829034631562282,0,0,0,5.099866427824199
137177,3,11,3,10,0,4012,7955,550,319,477,4625,2218,403,0.137089,0,8.297294370266917,8.981681639973862,7.704811922932594,8.439447842791385,6.311734809152915,11.829034631562282,1,0,0,5.7430031878094825
137177,1,11,3,3,0,1531,2838,212,189,1359,1210,690,143,0.138472,0,7.3343293503005365,7.951207156472972,6.53813982376767,7.099201743553092,5.3612921657094255,11.829034631562282,1,0,0,3.6888794541139363
137059,1,11,2,11,1,2938,6056,374,283,483,4509,2078,287,0.127297,0,7.985824666418917,8.708969906980947,7.639642287858013,8.414052432496725,5.926926025970411,11.828174065139814,1,0,0,4.844187086458591
137059,1,11,2,3,0,24720,37240,845,564,850,14475,8120,504,0.034183,0,10.115408363827857,10.525165583876873,9.002208578282412,9.580247384683632,6.740519359606223,11.828174065139814,1,0,0,6.045005314036012
137059,2,11,1,9,0,2219,4545,287,220,329,3189,1495,221,0.129338,0,7.705262474866325,8.422003004412488,7.310550158534422,8.06777619577889,5.662960480135946,11.828174065139814,1,0,0,4.5217885770490405
137059,3,11,1,3,0,4732,9303,607,352,518,6201,3136,445,0.128276,0,8.462314529906248,9.1381996941985,8.051022208190679,8.732627099660395,6.410174881966167,11.828174065139814,1,0,0,5.8377304471659395
137059,3,11,7,9,0,2225,4239,310,216,289,2570,1389,233,0.139326,1,7.70796153183549,8.352318548226004,7.237059026124737,7.852050207265889,5.739792912179234,11.828174065139814,1,0,0,4.867534450455582
137059,2,11,7,4,0,2626,4943,316,213,299,3047,1605,244,0.120335,1,7.87359778968554,8.505929999137527,7.381501894506707,8.022240916806537,5.75890177387728,11.828174065139814,1,0,0,5.003946305945459
137059,3,10,6,10,0,3090,5744,391,257,360,3521,1796,293,0.126537,1,8.036249942132116,8.656085190282855,7.493873886783559,8.166784289056151,5.971261839790462,11.828174065139814,1,0,0,5.225746673713202
137059,1,10,6,3,0,1101,2548,324,287,2418,1284,704,220,0.294278,1,7.004881989712859,7.8434564043761155,6.558197802812269,7.158513997329321,5.783825182329737,11.828174065139814,1,0,0,4.189654742026425
137059,2,10,5,11,0,2819,5230,318,218,303,3128,1622,240,0.112806,0,7.944492163932159,8.562357743370612,7.392031567514591,8.048468743668883,5.765191102784844,11.828174065139814,1,0,0,4.962844630259907
137020,2,10,5,3,1,12468,24917,2143,1966,2576,15850,7636,1661,0.17188,0,9.431000842996585,10.123345712858809,8.940760134888384,9.670987868797893,7.670428522190693,11.8278894777349,0,1,0,5.937536205082426
137020,1,10,4,10,0,12776,21893,785,539,881,13272,7800,575,0.061443,0,9.455401958591324,9.993967905664503,8.962007209588313,9.493487175626202,6.666956792429207,11.8278894777349,1,0,0,6.066108090103747
137020,1,10,4,9,1,1357,2453,37,37,55,2154,1120,32,0.027266,0,7.213768308118642,7.805474625270857,7.02197642307216,7.675546002537848,3.6375861597263857,11.8278894777349,1,0,0,0.0
137020,2,10,4,3,0,68896,104952,2624,1326,1952,35707,19840,1354,0.038086,0,11.1403679146895,11.56126790988073,9.895505782794471,10.483130032299252,7.872836175025724,11.8278894777349,1,0,0,7.394493107219038
137020,3,10,3,10,0,1711,3174,288,245,339,2226,1118,205,0.168323,0,7.445417556701687,8.063062911326792,7.020190708311925,7.708410667257367,5.666426688112432,11.8278894777349,1,0,0,4.382026634673881
137020,1,10,3,4,0,1388,2544,224,219,931,2161,1214,172,0.161383,0,7.236339342754344,7.841885928984623,7.102499355774649,7.6787889981991535,5.41610040220442,11.8278894777349,1,0,0,2.8903717578961645
137020,1,10,2,11,1,2645,5472,357,315,482,4485,2101,265,0.134972,0,7.880804344674901,8.607582191143917,7.650644551436897,8.408716715080153,5.8805329864007,11.8278894777349,1,0,0,4.290459441148391
137020,1,10,2,4,0,70144,111745,3216,2628,4782,43671,20608,1542,0.045849,0,11.158319807152873,11.623983717651743,9.933483152571508,10.684462443461593,8.076204527239026,11.8278894777349,1,0,0,7.036148493750536
137020,3,10,1,11,0,3674,7221,452,330,487,3832,1890,328,0.123027,0,8.209308411646937,8.884887201837403,7.544861068658458,8.251403065380556,6.115892125483034,11.8278894777349,1,0,0,5.407171771460119
136736,2,10,1,4,0,9504,19556,1132,1032,1512,16018,7616,981,0.119108,0,9.15957325492253,9.88108855759265,8.938137870372788,9.681530796701484,7.0326242610280065,11.825814651779986,0,1,0,5.476463551931511
136736,3,10,7,9,0,2426,4469,320,237,325,3120,1684,248,0.131904,1,7.794411205726601,8.405143687607614,7.429520842786462,8.045908742270779,5.771441123130016,11.825814651779986,1,0,0,5.003946305945459
136736,2,10,7,3,0,13872,27468,2664,2570,3395,20198,10432,2252,0.192042,1,9.537699784080726,10.220813375077594,9.25272913846797,9.91338837721339,7.887959336599945,11.825814651779986,0,1,0,5.605802066295998
136736,1,10,6,10,0,1673,3655,338,324,1619,2598,1469,268,0.202032,1,7.422971251049421,8.204124932574041,7.293017679772782,7.8628820346414905,5.82600010738045,11.825814651779986,1,0,0,3.5553480614894135
136736,1,10,6,8,0,1261,2158,37,37,49,1911,1077,33,0.029342,1,7.140453043101158,7.677400430514807,6.982862751468942,7.555905093611346,3.6375861597263857,11.825814651779986,1,0,0,0.0
136736,2,10,6,4,0,2428,4510,311,238,323,2888,1560,236,0.128089,1,7.795234929002173,8.414274137408396,7.353081920515432,7.968665700466235,5.7430031878094825,11.825814651779986,1,0,0,4.941642422609304
136642,2,10,1,3,1,2227,4070,369,314,430,3227,1702,306,0.165694,0,7.708859601047175,8.31164394850298,7.440146680662688,8.07961802938984,5.91350300563827,11.825126964284891,1,0,0,4.584967478670572
136642,1,10,7,13,0,1592,2749,370,356,414,2551,1454,327,0.232412,1,7.373374309910049,7.919356190660617,7.282761179605593,7.844632644464681,5.916202062607435,11.825126964284891,1,0,0,2.8903717578961645
136642,1,10,7,12,1,813,1568,323,319,387,1402,695,280,0.397294,1,6.70196036600254,7.358193752733032,6.54534966033442,7.246368080102461,5.780743515792329,11.825126964284891,1,0,0,1.9459101490553132
136642,1,10,7,12,0,32208,57472,1810,1490,2286,56149,31648,1724,0.056197,1,10.380001195584374,10.95907055128778,10.362461831496553,10.935781960166588,7.501634457883413,11.825126964284891,1,0,0,6.129050210060545
136642,1,10,7,11,0,729,1374,303,298,331,1284,650,262,0.415638,1,6.593044534142437,7.226209010100671,6.478509642208569,7.158513997329321,5.717027701406222,11.825126964284891,1,0,0,2.0794415416798357
136642,1,10,7,10,0,834,1570,399,392,510,1390,704,351,0.478417,1,6.727431724850855,7.359467638255621,6.558197802812269,7.237778191923443,5.991464547107982,11.825126964284891,1,0,0,2.302585092994046
136393,1,10,7,10,0,786,1573,263,257,318,1401,660,222,0.334606,1,6.668228248417403,7.3613754289773485,6.493753839851686,7.2456550675945355,5.575949103146316,11.823303035154192,1,0,0,2.1972245773362196
136393,1,10,7,9,0,584,1029,273,271,308,943,511,232,0.467466,1,6.371611847231857,6.937314081223682,6.238324625039508,6.8501261661455,5.6131281063880705,11.823303035154192,1,0,0,1.0986122886681098
136393,2,10,7,9,0,15816,30514,2733,2654,3289,23584,11912,2361,0.1728,1,9.668840589963489,10.325973644978596,9.38538551979936,10.068366195718362,7.913521017283895,11.823303035154192,0,1,0,5.4510384535657
136393,1,10,7,8,0,619,1096,257,254,292,951,516,217,0.415186,1,6.429719478039138,7.00033446027523,6.248042874508429,6.858565034791365,5.552959584921617,11.823303035154192,1,0,0,1.6094379124341003
136393,1,10,7,7,0,617,1071,229,223,265,935,521,191,0.371151,1,6.42648845745769,6.977281341630747,6.257667587882639,6.841615476477592,5.438079308923196,11.823303035154192,1,0,0,1.9459101490553132
136393,1,10,7,6,0,677,1285,251,246,297,1210,615,211,0.370753,1,6.519147287940395,7.1592919047975645,6.423246963533519,7.099201743553092,5.529429087511423,11.823303035154192,1,0,0,2.0794415416798357
136393,1,10,7,5,0,677,1240,236,228,264,1098,580,196,0.348597,1,6.519147287940395,7.123672785204607,6.364750756851911,7.002155954403621,5.4680601411351315,11.823303035154192,1,0,0,2.302585092994046
136393,3,10,7,3,0,3366,6647,474,345,495,3180,1674,385,0.14082,1,8.121777419161074,8.802071336535285,7.423568444259167,8.064950891749143,6.163314804034641,11.823303035154192,1,0,0,5.493061443340548
136393,1,10,6,13,0,747,1443,226,220,287,1252,632,194,0.302544,1,6.617402977974478,7.275172319452771,6.450470422144176,7.133295954896068,5.424950017481403,11.823303035154192,1,0,0,2.3978952727983707
136393,1,10,6,13,0,645,1117,195,192,224,989,554,166,0.302326,1,6.470799503782602,7.0192966537150445,6.318968113746434,6.897704943128636,5.278114659230517,11.823303035154192,1,0,0,1.791759469228055
136393,1,10,6,12,0,754,1510,206,205,252,1430,690,175,0.27321,1,6.626717749249025,7.32052696227274,6.53813982376767,7.266128779556451,5.332718793265369,11.823303035154192,1,0,0,1.3862943611198906
136393,1,10,6,11,0,910,1673,207,201,247,1503,782,176,0.227473,1,6.814542897259958,7.422971251049421,6.663132695990803,7.315883504509785,5.337538079701318,11.823303035154192,1,0,0,2.3978952727983707
136393,1,10,6,9,0,3906,8239,868,863,2632,7736,3768,774,0.222222,1,8.27052509505507,9.016755622903517,8.234564993267135,8.953769294549454,6.767343125265392,11.823303035154192,1,0,0,2.3978952727983707
